case,basis,E_total
H_atom,sto-1g,-0.42441318157838764
He_atom,sto-1g,-2.3009405882292153
H2_0.74A,sto-1g,-0.9390654918031686
H2_1.5A,sto-1g,-0.8776612394188507
H2_3.0A,sto-1g,-0.6581200067100337
HeH_plus,sto-1g,-2.376911156334914
H_atom,sto-2g,-0.4543973569258596
He_atom,sto-2g,-2.7021572075649622
H2_0.74A,sto-2g,-1.0934394541292782
H2_1.5A,sto-2g,-0.886413826474249
H2_3.0A,sto-2g,-0.6299574364948131
HeH_plus,sto-2g,-2.731313122727389
H_atom,sto-3g,-0.46658185037848615
He_atom,sto-3g,-2.807783956614195
H2_0.74A,sto-3g,-1.1167592097936936
H2_1.5A,sto-3g,-0.9108735624233463
H2_3.0A,sto-3g,-0.6560482677403447
HeH_plus,sto-3g,-2.828497016980584
H_atom,sto-4g,-0.4698064642325704
He_atom,sto-4g,-2.835725989657807
H2_0.74A,sto-4g,-1.1231536127118384
H2_1.5A,sto-4g,-0.9169583163100429
H2_3.0A,sto-4g,-0.6630330235440218
HeH_plus,sto-4g,-2.8546560913297805
H_atom,sto-5g,-0.47074291827542936
He_atom,sto-5g,-2.8437698173306583
H2_0.74A,sto-5g,-1.1248243033957177
H2_1.5A,sto-5g,-0.9184004586714839
H2_3.0A,sto-5g,-0.6650173759773057
HeH_plus,sto-5g,-2.8622301735167333
H_atom,sto-6g,-0.47103905417809255
He_atom,sto-6g,-2.8462920947813606
H2_0.74A,sto-6g,-1.1253721375239847
H2_1.5A,sto-6g,-0.9189359504793427
H2_3.0A,sto-6g,-0.6656565216167651
HeH_plus,sto-6g,-2.8645967713698774
